Sequence,RawData,Position384,OriginalSequence
586,47.4148,Plate 1 B8,233
594,40.4051,Plate 1 D8,234
602,42.1594,Plate 1 F8,235
610,38.7422,Plate 1 H8,236
618,37.7239,Plate 1 J8,237
626,34.8007,Plate 1 L8,238
634,44.3272,Plate 1 N8,239
DMSO,34.9537,Plate 1 P8,240
642,33.5682,Plate 1 B9,241
650,32.3647,Plate 1 D9,242
658,32.4326,Plate 1 F9,243
666,30.7961,Plate 1 H9,244
674,30.6788,Plate 1 J9,245
682,30.3794,Plate 1 L9,246
690,29.7236,Plate 1 N9,247
698,29.5138,Plate 1 P9,248
706,114.8591,Plate 1 B10,249
714,43.1854,Plate 1 D10,250
722,37.3219,Plate 1 F10,251
730,34.4146,Plate 1 H10,252
738,31.9356,Plate 1 J10,253
746,37.1098,Plate 1 L10,254
754,34.856,Plate 1 N10,255
762,32.7868,Plate 1 P10,256
770,32.6131,Plate 1 B11,257
778,40.9465,Plate 1 D11,258
786,39.3339,Plate 1 F11,259
794,29.2351,Plate 1 H11,260
802,29.4011,Plate 1 J11,261
810,76.5401,Plate 1 L11,262
818,37.4807,Plate 1 N11,263
826,47.1055,Plate 1 P11,264
834,29.5692,Plate 1 B12,265
842,28.4461,Plate 1 D12,266
850,27.0418,Plate 1 F12,267
858,31.3702,Plate 1 H12,268
866,28.5286,Plate 1 J12,269
874,28.5861,Plate 1 L12,270
882,27.8957,Plate 1 N12,271
890,27.7664,Plate 1 P12,272
898,28.2322,Plate 1 B13,273
906,27.1458,Plate 1 D13,274
914,11.4269,Plate 1 F13,275
922,24.925,Plate 1 H13,276
930,23.7149,Plate 1 J13,277
938,25.6286,Plate 1 L13,278
946,26.548,Plate 1 N13,279
954,26.7182,Plate 1 P13,280
DMSO,18.2503,Plate 1 B14,281
962,29.6809,Plate 1 D14,282
970,24.1696,Plate 1 F14,283
978,23.1128,Plate 1 H14,284
986,24.6387,Plate 1 J14,285
994,35.6108,Plate 1 L14,286
1002,23.6819,Plate 1 N14,287
1010,26.3545,Plate 1 P14,288
1018,24.7842,Plate 1 B15,289
1026,22.5317,Plate 1 D15,290
1034,23.0768,Plate 1 F15,291
1042,23.3495,Plate 1 H15,292
1050,23.533,Plate 1 J15,293
1058,23.082,Plate 1 L15,294
1066,35.8226,Plate 1 N15,295
1074,25.4481,Plate 1 P15,296
1082,25.3577,Plate 1 B16,297
1090,24.3839,Plate 1 D16,298
1098,44.0422,Plate 1 F16,299
1106,35.8398,Plate 1 H16,300
1114,28.4081,Plate 1 J16,301
1122,30.1679,Plate 1 L16,302
1130,33.4988,Plate 1 N16,303
1138,29.6421,Plate 1 P16,304
1146,26.4524,Plate 1 B17,305
1154,30.7751,Plate 1 D17,306
1162,540.0884,Plate 1 F17,307
1170,103.4432,Plate 1 H17,308
1178,54.8857,Plate 1 J17,309
1186,39.0183,Plate 1 L17,310
1194,32.5307,Plate 1 N17,311
1202,33.1584,Plate 1 P17,312
1210,36.1992,Plate 1 B18,313
1218,27.6267,Plate 1 D18,314
1226,25.923,Plate 1 F18,315
1234,27.3281,Plate 1 H18,316
1242,25.374,Plate 1 J18,317
1250,33.5756,Plate 1 L18,318
1258,26.2856,Plate 1 N18,319
1266,98.0917,Plate 1 P18,320
1274,27.9718,Plate 1 B23,DMSO
DMSO,20.234,Plate 1 D23,DMSO
DMSO,18.7818,Plate 1 F23,DMSO
3,26.7581,Plate 1 H23,DMSO
11,26.5573,Plate 1 J23,DMSO
19,23.1951,Plate 1 L23,DMSO
27,25.5368,Plate 1 N23,DMSO
35,26.3382,Plate 1 P23,DMSO
43,29.8901,Plate 3 A21,321
51,21.1675,Plate 3 C21,322
59,21.0711,Plate 3 E21,323
67,25.3302,Plate 3 G21,324
